t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
304795,0,0.000000,0,0.822800,0.760700,0.000000,0.392460,0.760700,0.000000,9.088068,5.415933,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
304845,50,0.050000,0,0.817100,0.759900,0.000000,0.392460,0.759900,0.000000,9.025110,5.341155,2.548029,6.492453,-1.788129,-6.492453,-0.701770,-1.000000
304895,100,0.100000,0,0.817100,0.759900,0.000000,0.392460,0.759900,0.000000,9.025110,5.341155,2.548029,6.492453,-1.788129,-6.492453,-0.701770,-1.000000
304945,150,0.150000,0,0.816300,0.760700,0.000000,0.392460,0.760700,0.000000,9.016274,5.330701,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
304995,200,0.200000,0,0.814700,0.760700,0.000000,0.392460,0.760700,0.000000,8.998601,5.309825,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305045,250,0.250000,0,0.816300,0.760700,0.000000,0.392460,0.760700,0.000000,9.016274,5.330701,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305095,300,0.300000,0,0.816300,0.760700,0.000000,0.392460,0.760700,0.000000,9.016274,5.330701,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305145,350,0.350000,0,0.817100,0.760700,0.000000,0.392460,0.760700,0.000000,9.025110,5.341155,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305195,400,0.400000,0,0.816300,0.760700,0.000000,0.392460,0.760700,0.000000,9.016274,5.330701,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305245,450,0.450000,0,0.822800,0.760700,0.000000,0.392460,0.760700,0.000000,9.088068,5.415933,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305295,500,0.500000,0,0.814700,0.760700,0.000000,0.392460,0.760700,0.000000,8.998601,5.309825,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305345,550,0.550000,0,0.824400,0.760700,0.000000,0.392460,0.760700,0.000000,9.105741,5.437017,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305395,600,0.600000,0,0.816300,0.760700,0.000000,0.392460,0.760700,0.000000,9.016274,5.330701,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305445,650,0.650000,0,0.824400,0.760700,0.000000,0.392460,0.760700,0.000000,9.105741,5.437017,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305495,700,0.700000,0,0.817900,0.760700,0.000000,0.392460,0.760700,0.000000,9.033946,5.351619,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305545,750,0.750000,0,0.814700,0.761500,0.000000,0.392460,0.761500,0.000000,8.998601,5.309825,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
305595,800,0.800000,0,0.814700,0.761500,0.000000,0.392460,0.761500,0.000000,8.998601,5.309825,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
305645,850,0.850000,0,0.814700,0.760700,0.000000,0.392460,0.760700,0.000000,8.998601,5.309825,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305695,900,0.900000,0,0.813100,0.762300,0.000000,0.392460,0.762300,0.000000,8.980929,5.288989,2.548029,6.492453,-1.785729,-6.492453,-0.700828,-1.000000
305745,950,0.950000,0,0.812300,0.760700,0.000000,0.392460,0.760700,0.000000,8.972093,5.278587,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305795,1000,1.000000,0,0.814700,0.760700,0.000000,0.392460,0.760700,0.000000,8.998601,5.309825,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305845,1050,1.050000,0,0.812300,0.760700,0.000000,0.392460,0.760700,0.000000,8.972093,5.278587,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305895,1100,1.100000,0,0.815500,0.761500,0.000000,0.392460,0.761500,0.000000,9.007438,5.320258,2.548029,6.492453,-1.786529,-6.492453,-0.701142,-1.000000
305945,1150,1.150000,0,0.813100,0.760700,0.000000,0.392460,0.760700,0.000000,8.980929,5.288989,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
305995,1200,1.200000,0,0.820400,0.759900,0.000000,0.392460,0.759900,0.000000,9.061560,5.384384,2.548029,6.492453,-1.788129,-6.492453,-0.701770,-1.000000
306045,1250,1.250000,0,0.812300,0.760700,0.000000,0.392460,0.760700,0.000000,8.972093,5.278587,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306095,1300,1.300000,0,0.812300,0.760700,0.000000,0.392460,0.760700,0.000000,8.972093,5.278587,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306145,1350,1.350000,0,0.812300,0.760700,0.000000,0.392460,0.760700,0.000000,8.972093,5.278587,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
306195,1400,1.400000,0,0.813900,0.759900,0.000000,0.392460,0.759900,0.000000,8.989765,5.299402,2.548029,6.492453,-1.788129,-6.492453,-0.701770,-1.000000
306245,1450,1.450000,0,0.814700,0.760700,0.000000,0.392460,0.760700,0.000000,8.998601,5.309825,2.548029,6.492453,-1.787329,-6.492453,-0.701456,-1.000000
