s,servo_deg,v_div,v_rf,v_photo,ms
39.0,0,0,0.7849,0.1902,39006
39.1,0,0,0.7857,0.1886,39056
39.1,0,0,0.7793,0.1894,39106
39.2,0,0,0.7849,0.1894,39156
39.2,0,0,0.7865,0.1926,39206
39.3,0,0,0.7825,0.1886,39256
39.3,0,0,0.7857,0.1934,39306
39.4,0,0,0.7768,0.1934,39356
39.4,0,0,0.7865,0.1862,39406
39.5,0,0,0.7833,0.1902,39456
39.5,0,0,0.7817,0.1934,39506
39.6,0,0,0.7809,0.1886,39556
39.6,0,0,0.7825,0.1894,39606
39.7,0,0,0.7809,0.1886,39656
39.7,0,0,0.7825,0.1934,39706
39.8,0,0,0.7825,0.1942,39756
39.8,0,0,0.7825,0.1934,39806
39.9,0,0,0.7817,0.1958,39856
39.9,0,0,0.7817,0.1894,39906
40.0,0,0,0.7825,0.1894,39956
40.0,0,0,0.7809,0.191,40006
40.1,0,0,0.7825,0.191,40056
40.1,0,0,0.7817,0.1918,40106
40.2,0,0,0.7752,0.1894,40156
40.2,0,0,0.7817,0.191,40206
40.3,0,0,0.7785,0.1902,40256
40.3,0,0,0.7873,0.191,40306
40.4,0,0,0.7833,0.191,40356
40.4,0,0,0.7849,0.191,40406
40.5,0,0,0.776,0.1902,40456
40.5,0,0,0.7607,0.1902,40506
40.6,0,0,0.7809,0.1894,40556
40.6,0,0,0.7752,0.1886,40606
40.7,0,0,0.7752,0.1878,40656
40.7,0,0,0.7857,0.1886,40706
40.8,0,0,0.7817,0.1878,40756
40.8,0,0,0.7777,0.1934,40806
40.9,0,0,0.7785,0.191,40856
40.9,0,0,0.7768,0.1853,40906
41.0,0,0,0.776,0.1902,40956
41.0,0,0,0.7793,0.1862,41006
41.1,0,0,0.7785,0.1878,41056
41.1,0,0,0.7777,0.1853,41106
41.2,0,0,0.7785,0.1886,41156
41.2,0,0,0.7768,0.1902,41206
41.3,0,0,0.7768,0.1886,41256
41.3,0,0,0.776,0.1894,41306
41.4,0,0,0.7777,0.1894,41356
41.4,0,0,0.7768,0.1902,41406
41.5,0,0,0.7777,0.1886,41456
41.5,0,0,0.7744,0.191,41506
41.6,0,0,0.776,0.191,41556
41.6,0,0,0.7777,0.1902,41606
41.7,0,0,0.7752,0.1894,41656
41.7,0,0,0.7744,0.1894,41706
41.8,0,0,0.7785,0.191,41756
41.8,0,0,0.7744,0.1918,41806
41.9,0,0,0.7793,0.1934,41856
41.9,0,0,0.7793,0.1894,41906
42.0,0,0,0.7809,0.1902,41956
42.0,0,0,0.776,0.1894,42006
42.1,0,0,0.776,0.1878,42056
42.1,0,0,0.776,0.1934,42106
42.2,0,0,0.776,0.1894,42156
42.2,0,0,0.7777,0.2039,42206
42.3,0,0,0.776,0.1829,42256
42.3,0,0,0.7744,0.1845,42306
42.4,0,0,0.776,0.191,42356
42.4,0,0,0.7736,0.1918,42406
42.5,0,0,0.7736,0.191,42456
42.5,0,0,0.7777,0.1853,42506
42.6,0,0,0.7752,0.1902,42556
42.6,0,0,0.7752,0.1902,42606
42.7,0,0,0.7752,0.1894,42656
42.7,0,0,0.772,0.1902,42706
42.8,0,0,0.7825,0.1902,42756
42.8,0,0,0.7817,0.1902,42806
42.9,0,0,0.7768,0.1894,42856
42.9,0,0,0.7688,0.191,42906
43.0,0,0,0.7736,0.191,42956
43.0,0,0,0.7728,0.1902,43006
43.1,0,0,0.7744,0.1886,43056
43.1,0,0,0.7712,0.1902,43106
43.2,0,0,0.7833,0.1886,43156
43.2,0,0,0.7615,0.1853,43206
43.3,0,0,0.7752,0.1918,43256
43.3,0,0,0.776,0.1934,43306
43.4,0,0,0.776,0.1934,43356
43.4,0,0,0.7744,0.1878,43406
43.5,0,0,0.7744,0.1886,43456
43.5,0,0,0.7704,0.187,43506
43.6,0,0,0.7752,0.195,43556
43.6,0,0,0.7736,0.1926,43606
43.7,0,0,0.7744,0.1934,43656
43.7,0,0,0.7736,0.1894,43706
43.8,0,0,0.7736,0.1894,43756
43.8,0,0,0.7736,0.191,43806
43.9,0,0,0.7744,0.1894,43856
43.9,0,0,0.7736,0.1894,43906
44.0,0,0,0.7712,0.1918,43956
44.0,0,0,0.7688,0.191,44006
44.1,0,0,0.7688,0.1918,44056
44.1,0,0,0.7736,0.1886,44106
44.2,0,0,0.7728,0.1886,44156
44.2,0,0,0.7736,0.1902,44206
44.3,0,0,0.7736,0.1902,44256
44.3,0,0,0.7696,0.1902,44306
44.4,0,0,0.7728,0.1894,44356
44.4,0,0,0.7785,0.1902,44406
44.5,0,0,0.7857,0.1894,44456
44.5,0,0,0.7962,0.191,44506
44.6,0,0,0.764,0.1894,44556
44.6,0,0,0.7736,0.1934,44606
44.7,0,0,0.7728,0.191,44656
44.7,0,0,0.7736,0.1749,44706
44.8,0,0,0.7736,0.1773,44756
44.8,0,0,0.7744,0.1805,44806
44.9,0,0,0.7736,0.191,44856
44.9,0,0,0.7736,0.1878,44906
45.0,0,0,0.7752,0.1894,44956
45.0,0,0,0.7744,0.1886,45006
45.1,0,0,0.7736,0.1902,45056
45.1,0,0,0.7736,0.1894,45106
45.2,0,0,0.7736,0.1902,45156
45.2,0,0,0.7736,0.1902,45206
45.3,0,0,0.7744,0.1926,45256
45.3,0,0,0.7704,0.191,45306
45.4,0,0,0.7768,0.1918,45356
45.4,0,0,0.7736,0.1902,45406
45.5,0,0,0.7736,0.1894,45456
45.5,0,0,0.7744,0.191,45506
45.6,0,0,0.7768,0.1918,45556
45.6,0,0,0.7736,0.1902,45606
45.7,0,0,0.7632,0.1886,45656
45.7,0,0,0.776,0.1902,45706
45.8,0,0,0.7817,0.1934,45756
45.8,0,0,0.7736,0.1845,45806
45.9,0,0,0.7736,0.1878,45856
45.9,0,0,0.7736,0.191,45906
46.0,0,0,0.776,0.191,45956
46.0,0,0,0.7752,0.1894,46006
