ms_abs,ms_rel,s_rel,servo_deg,v_div,v_rf,v_photo
106161,0,0,0,0,0.801,0.1708
106211,50,0.05,0,0,0.801,0.1692
106261,100,0.1,0,0,0.8018,0.1692
106311,150,0.15,0,0,0.8002,0.1716
106361,200,0.2,0,0,0.8002,0.1684
106411,250,0.25,0,0,0.8018,0.1716
106461,300,0.3,0,0,0.801,0.1708
106511,350,0.35,0,0,0.801,0.1708
106561,400,0.4,0,0,0.801,0.17
106611,450,0.45,0,0,0.8002,0.1716
106661,500,0.5,0,0,0.8018,0.17
106711,550,0.55,0,0,0.801,0.1749
106761,600,0.6,0,0,0.8083,0.1692
106811,650,0.65,0,0,0.8042,0.1716
106861,700,0.7,0,0,0.8099,0.1716
106911,750,0.75,0,0,0.8067,0.1716
106961,800,0.8,0,0,0.8034,0.1692
107011,850,0.85,0,0,0.7865,0.1708
107061,900,0.9,0,0,0.8051,0.1733
107111,950,0.95,0,0,0.8059,0.1845
107161,1000,1,0,0,0.8083,0.1829
107211,1050,1.05,0,0,0.8042,0.1733
107261,1100,1.1,0,0,0.8042,0.1716
107311,1150,1.15,0,0,0.8034,0.1692
107361,1200,1.2,0,0,0.8042,0.1692
107411,1250,1.25,0,0,0.8034,0.1692
107461,1300,1.3,0,0,0.8042,0.1676
107511,1350,1.35,0,0,0.8034,0.17
107561,1400,1.4,0,0,0.8067,0.17
107611,1450,1.45,0,0,0.8059,0.17
107661,1500,1.5,0,0,0.8067,0.1708
107711,1550,1.55,0,0,0.8042,0.17
107761,1600,1.6,0,0,0.8075,0.1708
107811,1650,1.65,0,0,0.8042,0.1684
107861,1700,1.7,0,0,0.8107,0.1716
107911,1750,1.75,0,0,0.8123,0.1733
107961,1800,1.8,0,0,0.8034,0.1676
108011,1850,1.85,0,0,0.8034,0.1725
108061,1900,1.9,0,0,0.8042,0.1725
108111,1950,1.95,0,0,0.8051,0.1725
108161,2000,2,0,0,0.8083,0.17
108211,2050,2.05,0,0,0.8091,0.166
108261,2100,2.1,0,0,0.8107,0.17
108311,2150,2.15,0,0,0.8123,0.17
108361,2200,2.2,0,0,0.8107,0.1725
108411,2250,2.25,0,0,0.8018,0.1708
108461,2300,2.3,0,0,0.8083,0.1716
108511,2350,2.35,0,0,0.8099,0.1757
108561,2400,2.4,0,0,0.8107,0.1716
108611,2450,2.45,0,0,0.8099,0.17
108661,2500,2.5,0,0,0.8091,0.17
108711,2550,2.55,0,0,0.8115,0.1708
108761,2600,2.6,0,0,0.8107,0.1725
108811,2650,2.65,0,0,0.8107,0.1692
108861,2700,2.7,0,0,0.8115,0.17
108911,2750,2.75,0,0,0.8123,0.1716
108961,2800,2.8,0,0,0.8075,0.1652
109011,2850,2.85,0,0,0.8051,0.1716
109061,2900,2.9,0,0,0.8123,0.1708
109111,2950,2.95,0,0,0.8115,0.1725
109161,3000,3,0,0,0.8099,0.17
109211,3050,3.05,0,0,0.8155,0.1716
109261,3100,3.1,0,0,0.8123,0.1725
109311,3150,3.15,0,0,0.8115,0.1733
109361,3200,3.2,0,0,0.8115,0.1708
109411,3250,3.25,0,0,0.8051,0.1716
109461,3300,3.3,0,0,0.8123,0.1773
109511,3350,3.35,0,0,0.8123,0.1716
109561,3400,3.4,0,0,0.8123,0.17
109611,3450,3.45,0,0,0.8123,0.1716
109661,3500,3.5,0,0,0.8115,0.1692
109711,3550,3.55,0,0,0.8123,0.1692
109761,3600,3.6,0,0,0.8123,0.1716
109811,3650,3.65,0,0,0.8123,0.1708
109861,3700,3.7,0,0,0.8123,0.1733
109911,3750,3.75,0,0,0.8123,0.1716
109961,3800,3.8,0,0,0.8123,0.1725
110011,3850,3.85,0,0,0.8123,0.1692
110061,3900,3.9,0,0,0.8123,0.1692
110111,3950,3.95,0,0,0.8131,0.1716
110161,4000,4,0,0,0.8131,0.1676
110211,4050,4.05,0,0,0.8131,0.1684
110261,4100,4.1,0,0,0.8131,0.1676
110311,4150,4.15,0,0,0.8123,0.1692
110361,4200,4.2,0,0,0.8123,0.1692
110411,4250,4.25,0,0,0.8131,0.1676
110461,4300,4.3,0,0,0.8131,0.166
110511,4350,4.35,0,0,0.8131,0.1813
110561,4400,4.4,0,0,0.8123,0.1733
