t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
1654532,0,0.000000,0,1.166100,0.838900,0.178100,0.392460,0.838900,0.178100,12.879918,8.446654,0.764409,6.492453,0.074491,-6.314353,0.097450,-0.972568
1654582,50,0.050000,0,1.151600,0.779300,0.167600,0.392460,0.779300,0.167600,12.719761,8.237898,0.764409,6.492453,0.014891,-6.324853,0.019481,-0.974185
1654632,100,0.100000,0,1.161200,0.751100,0.175700,0.392460,0.751100,0.175700,12.825796,8.375817,0.764409,6.492453,-0.013309,-6.316753,-0.017411,-0.972938
1654682,150,0.150000,0,1.173300,0.737400,0.183700,0.392460,0.737400,0.183700,12.959444,8.551282,0.764409,6.492453,-0.027009,-6.308753,-0.035333,-0.971706
1654732,200,0.200000,0,1.162900,0.734900,0.193400,0.392460,0.734900,0.193400,12.844573,8.400359,0.764409,6.492453,-0.029509,-6.299053,-0.038603,-0.970212
1654782,250,0.250000,0,1.183800,0.749500,0.174100,0.392460,0.749500,0.174100,13.075420,8.705020,0.764409,6.492453,-0.014909,-6.318353,-0.019504,-0.973184
1654832,300,0.300000,0,1.174100,0.752700,0.182900,0.392460,0.752700,0.182900,12.968280,8.562948,0.764409,6.492453,-0.011709,-6.309553,-0.015317,-0.971829
1654882,350,0.350000,0,1.158000,0.809900,0.178100,0.392460,0.809900,0.178100,12.790451,8.329717,0.764409,6.492453,0.045491,-6.314353,0.059512,-0.972568
1654932,400,0.400000,0,1.161200,0.760700,0.177300,0.392460,0.760700,0.177300,12.825796,8.375817,0.764409,6.492453,-0.003709,-6.315153,-0.004852,-0.972691
1654982,450,0.450000,0,1.153200,0.786500,0.178900,0.392460,0.786500,0.178900,12.737434,8.260805,0.764409,6.492453,0.022091,-6.313553,0.028900,-0.972445
1655032,500,0.500000,0,1.158000,0.848600,0.195800,0.392460,0.848600,0.195800,12.790451,8.329717,0.764409,6.492453,0.084191,-6.296653,0.110139,-0.969842
1655082,550,0.550000,0,1.159600,0.776800,0.180500,0.392460,0.776800,0.180500,12.808123,8.352751,0.764409,6.492453,0.012391,-6.311953,0.016210,-0.972198
1655132,600,0.600000,0,1.173300,0.614100,0.176500,0.392460,0.614100,0.176500,12.959444,8.551282,0.764409,6.492453,-0.150309,-6.315953,-0.196634,-0.972815
1655182,650,0.650000,0,1.169300,0.788100,0.182900,0.392460,0.788100,0.182900,12.915263,8.493076,0.764409,6.492453,0.023691,-6.309553,0.030993,-0.971829
1655232,700,0.700000,0,1.147500,0.817900,0.167600,0.392460,0.817900,0.167600,12.674475,8.179344,0.764409,6.492453,0.053491,-6.324853,0.069977,-0.974185
1655282,750,0.750000,0,1.156400,0.710800,0.181300,0.392460,0.710800,0.181300,12.772778,8.306714,0.764409,6.492453,-0.053609,-6.311153,-0.070131,-0.972075
1655332,800,0.800000,0,1.158000,0.770400,0.178900,0.392460,0.770400,0.178900,12.790451,8.329717,0.764409,6.492453,0.005991,-6.313553,0.007838,-0.972445
1655382,850,0.850000,0,1.170900,0.722100,0.189400,0.392460,0.722100,0.189400,12.932935,8.516335,0.764409,6.492453,-0.042309,-6.303053,-0.055348,-0.970828
1655432,900,0.900000,0,1.171700,0.735800,0.178100,0.392460,0.735800,0.178100,12.941771,8.527976,0.764409,6.492453,-0.028609,-6.314353,-0.037426,-0.972568
1655482,950,0.950000,0,1.167700,0.743800,0.172500,0.392460,0.743800,0.172500,12.897590,8.469849,0.764409,6.492453,-0.020609,-6.319953,-0.026960,-0.973431
1655532,1000,1.000000,0,1.190300,0.763200,0.181300,0.392460,0.763200,0.181300,13.147214,8.800878,0.764409,6.492453,-0.001209,-6.311153,-0.001581,-0.972075
1655582,1050,1.050000,0,1.155600,0.694700,0.193400,0.392460,0.694700,0.193400,12.763942,8.295225,0.764409,6.492453,-0.069709,-6.299053,-0.091193,-0.970212
1655632,1100,1.100000,0,1.169300,0.716400,0.173300,0.392460,0.716400,0.173300,12.915263,8.493076,0.764409,6.492453,-0.048009,-6.319153,-0.062805,-0.973307
