t_ms,t_ms_rel,t_s_rel,servo_deg,v_div,v_rf,v_photo,r_m,B_exp,L_exp,V_in,P_in,B_teo,L_teo,err_B_abs,err_L_abs,err_B_rel,err_L_rel
284957,0,0,0,0,0.8107,0.1733,0.3966106403010388,0.8107,0.1733,0,0,2.521364528296496,6.357279084551812,-1.710664528,-6.183979085,-0.678467754,-0.97273991
285007,50,0.05,0,0,0.8042,0.1684,0.3966106403010388,0.8042,0.1684,0,0,2.521364528296496,6.357279084551812,-1.717164528,-6.188879085,-0.681045723,-0.97351068
285057,100,0.1,0,0,0.8034,0.1668,0.3966106403010388,0.8034,0.1668,0,0,2.521364528296496,6.357279084551812,-1.717964528,-6.190479085,-0.681363012,-0.97376236
285107,150,0.15,0,0,0.8051,0.1757,0.3966106403010388,0.8051,0.1757,0,0,2.521364528296496,6.357279084551812,-1.716264528,-6.181579085,-0.680688773,-0.97236239
285157,200,0.2,0,0,0.8051,0.1781,0.3966106403010388,0.8051,0.1781,0,0,2.521364528296496,6.357279084551812,-1.716264528,-6.179179085,-0.680688773,-0.97198487
285207,250,0.25,0,0,0.8051,0.1684,0.3966106403010388,0.8051,0.1684,0,0,2.521364528296496,6.357279084551812,-1.716264528,-6.188879085,-0.680688773,-0.97351068
285257,300,0.3,0,0,0.8042,0.1692,0.3966106403010388,0.8042,0.1692,0,0,2.521364528296496,6.357279084551812,-1.717164528,-6.188079085,-0.681045723,-0.97338484
285307,350,0.35,0,0,0.8042,0.1725,0.3966106403010388,0.8042,0.1725,0,0,2.521364528296496,6.357279084551812,-1.717164528,-6.184779085,-0.681045723,-0.97286575
285357,400,0.4,0,0,0.8059,0.1716,0.3966106403010388,0.8059,0.1716,0,0,2.521364528296496,6.357279084551812,-1.715464528,-6.185679085,-0.680371485,-0.97300732
285407,450,0.45,0,0,0.8059,0.1708,0.3966106403010388,0.8059,0.1708,0,0,2.521364528296496,6.357279084551812,-1.715464528,-6.186479085,-0.680371485,-0.97313316
285457,500,0.5,0,0,0.8075,0.1716,0.3966106403010388,0.8075,0.1716,0,0,2.521364528296496,6.357279084551812,-1.713864528,-6.185679085,-0.679736908,-0.97300732
285507,550,0.55,0,0,0.8075,0.1684,0.3966106403010388,0.8075,0.1684,0,0,2.521364528296496,6.357279084551812,-1.713864528,-6.188879085,-0.679736908,-0.97351068
285557,600,0.6,0,0,0.8075,0.1716,0.3966106403010388,0.8075,0.1716,0,0,2.521364528296496,6.357279084551812,-1.713864528,-6.185679085,-0.679736908,-0.97300732
285607,650,0.65,0,0,0.8083,0.1708,0.3966106403010388,0.8083,0.1708,0,0,2.521364528296496,6.357279084551812,-1.713064528,-6.186479085,-0.679419619,-0.97313316
285657,700,0.7,0,0,0.8075,0.17,0.3966106403010388,0.8075,0.17,0,0,2.521364528296496,6.357279084551812,-1.713864528,-6.187279085,-0.679736908,-0.973259
285707,750,0.75,0,0,0.8067,0.1765,0.3966106403010388,0.8067,0.1765,0,0,2.521364528296496,6.357279084551812,-1.714664528,-6.180779085,-0.680054196,-0.97223655
285757,800,0.8,0,0,0.8115,0.1725,0.3966106403010388,0.8115,0.1725,0,0,2.521364528296496,6.357279084551812,-1.709864528,-6.184779085,-0.678150465,-0.97286575
285807,850,0.85,0,0,0.8067,0.17,0.3966106403010388,0.8067,0.17,0,0,2.521364528296496,6.357279084551812,-1.714664528,-6.187279085,-0.680054196,-0.973259
285857,900,0.9,0,0,0.7994,0.1692,0.3966106403010388,0.7994,0.1692,0,0,2.521364528296496,6.357279084551812,-1.721964528,-6.188079085,-0.682949454,-0.97338484
285907,950,0.95,0,0,0.8042,0.1708,0.3966106403010388,0.8042,0.1708,0,0,2.521364528296496,6.357279084551812,-1.717164528,-6.186479085,-0.681045723,-0.97313316
285957,1000,1,0,0,0.8123,0.1684,0.3966106403010388,0.8123,0.1684,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.188879085,-0.677833177,-0.97351068
286007,1050,1.05,0,0,0.8107,0.1692,0.3966106403010388,0.8107,0.1692,0,0,2.521364528296496,6.357279084551812,-1.710664528,-6.188079085,-0.678467754,-0.97338484
286057,1100,1.1,0,0,0.7962,0.166,0.3966106403010388,0.7962,0.166,0,0,2.521364528296496,6.357279084551812,-1.725164528,-6.191279085,-0.684218608,-0.9738882
286107,1150,1.15,0,0,0.8026,0.1716,0.3966106403010388,0.8026,0.1716,0,0,2.521364528296496,6.357279084551812,-1.718764528,-6.185679085,-0.6816803,-0.97300732
286157,1200,1.2,0,0,0.8115,0.1676,0.3966106403010388,0.8115,0.1676,0,0,2.521364528296496,6.357279084551812,-1.709864528,-6.189679085,-0.678150465,-0.97363652
286207,1250,1.25,0,0,0.8107,0.1716,0.3966106403010388,0.8107,0.1716,0,0,2.521364528296496,6.357279084551812,-1.710664528,-6.185679085,-0.678467754,-0.97300732
286257,1300,1.3,0,0,0.8123,0.1708,0.3966106403010388,0.8123,0.1708,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.186479085,-0.677833177,-0.97313316
286307,1350,1.35,0,0,0.8123,0.1684,0.3966106403010388,0.8123,0.1684,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.188879085,-0.677833177,-0.97351068
286357,1400,1.4,0,0,0.8115,0.1676,0.3966106403010388,0.8115,0.1676,0,0,2.521364528296496,6.357279084551812,-1.709864528,-6.189679085,-0.678150465,-0.97363652
286407,1450,1.45,0,0,0.8123,0.1765,0.3966106403010388,0.8123,0.1765,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.180779085,-0.677833177,-0.97223655
286457,1500,1.5,0,0,0.8155,0.1676,0.3966106403010388,0.8155,0.1676,0,0,2.521364528296496,6.357279084551812,-1.705864528,-6.189679085,-0.676564023,-0.97363652
286507,1550,1.55,0,0,0.8123,0.1692,0.3966106403010388,0.8123,0.1692,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.188079085,-0.677833177,-0.97338484
286557,1600,1.6,0,0,0.8123,0.1725,0.3966106403010388,0.8123,0.1725,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.184779085,-0.677833177,-0.97286575
286607,1650,1.65,0,0,0.8123,0.1716,0.3966106403010388,0.8123,0.1716,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.185679085,-0.677833177,-0.97300732
286657,1700,1.7,0,0,0.8123,0.1684,0.3966106403010388,0.8123,0.1684,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.188879085,-0.677833177,-0.97351068
286707,1750,1.75,0,0,0.8123,0.1716,0.3966106403010388,0.8123,0.1716,0,0,2.521364528296496,6.357279084551812,-1.709064528,-6.185679085,-0.677833177,-0.97300732
286757,1800,1.8,0,0,0.8139,0.1708,0.3966106403010388,0.8139,0.1708,0,0,2.521364528296496,6.357279084551812,-1.707464528,-6.186479085,-0.6771986,-0.97313316
286807,1850,1.85,0,0,0.8099,0.1708,0.3966106403010388,0.8099,0.1708,0,0,2.521364528296496,6.357279084551812,-1.711464528,-6.186479085,-0.678785042,-0.97313316
286857,1900,1.9,0,0,0.8131,0.1692,0.3966106403010388,0.8131,0.1692,0,0,2.521364528296496,6.357279084551812,-1.708264528,-6.188079085,-0.677515888,-0.97338484
286907,1950,1.95,0,0,0.8115,0.1684,0.3966106403010388,0.8115,0.1684,0,0,2.521364528296496,6.357279084551812,-1.709864528,-6.188879085,-0.678150465,-0.97351068
286957,2000,2,0,0,0.8139,0.17,0.3966106403010388,0.8139,0.17,0,0,2.521364528296496,6.357279084551812,-1.707464528,-6.187279085,-0.6771986,-0.973259
287007,2050,2.05,0,0,0.8107,0.1708,0.3966106403010388,0.8107,0.1708,0,0,2.521364528296496,6.357279084551812,-1.710664528,-6.186479085,-0.678467754,-0.97313316
287057,2100,2.1,0,0,0.8228,0.17,0.3966106403010388,0.8228,0.17,0,0,2.521364528296496,6.357279084551812,-1.698564528,-6.187279085,-0.673668765,-0.973259
287107,2150,2.15,0,0,0.8171,0.1692,0.3966106403010388,0.8171,0.1692,0,0,2.521364528296496,6.357279084551812,-1.704264528,-6.188079085,-0.675929446,-0.97338484
287157,2200,2.2,0,0,0.8131,0.1684,0.3966106403010388,0.8131,0.1684,0,0,2.521364528296496,6.357279084551812,-1.708264528,-6.188879085,-0.677515888,-0.97351068
287207,2250,2.25,0,0,0.8204,0.1692,0.3966106403010388,0.8204,0.1692,0,0,2.521364528296496,6.357279084551812,-1.700964528,-6.188079085,-0.674620631,-0.97338484
287257,2300,2.3,0,0,0.8051,0.1676,0.3966106403010388,0.8051,0.1676,0,0,2.521364528296496,6.357279084551812,-1.716264528,-6.189679085,-0.680688773,-0.97363652
287307,2350,2.35,0,0,0.8131,0.1676,0.3966106403010388,0.8131,0.1676,0,0,2.521364528296496,6.357279084551812,-1.708264528,-6.189679085,-0.677515888,-0.97363652
287357,2400,2.4,0,0,0.8139,0.1741,0.3966106403010388,0.8139,0.1741,0,0,2.521364528296496,6.357279084551812,-1.707464528,-6.183179085,-0.6771986,-0.97261407
287407,2450,2.45,0,0,0.8155,0.1708,0.3966106403010388,0.8155,0.1708,0,0,2.521364528296496,6.357279084551812,-1.705864528,-6.186479085,-0.676564023,-0.97313316
287457,2500,2.5,0,0,0.8139,0.1757,0.3966106403010388,0.8139,0.1757,0,0,2.521364528296496,6.357279084551812,-1.707464528,-6.181579085,-0.6771986,-0.97236239
287507,2550,2.55,0,0,0.8171,0.1733,0.3966106403010388,0.8171,0.1733,0,0,2.521364528296496,6.357279084551812,-1.704264528,-6.183979085,-0.675929446,-0.97273991
287557,2600,2.6,0,0,0.8147,0.1708,0.3966106403010388,0.8147,0.1708,0,0,2.521364528296496,6.357279084551812,-1.706664528,-6.186479085,-0.676881311,-0.97313316
287607,2650,2.65,0,0,0.8131,0.1692,0.3966106403010388,0.8131,0.1692,0,0,2.521364528296496,6.357279084551812,-1.708264528,-6.188079085,-0.677515888,-0.97338484
287657,2700,2.7,0,0,0.8147,0.1692,0.3966106403010388,0.8147,0.1692,0,0,2.521364528296496,6.357279084551812,-1.706664528,-6.188079085,-0.676881311,-0.97338484
287707,2750,2.75,0,0,0.8147,0.1708,0.3966106403010388,0.8147,0.1708,0,0,2.521364528296496,6.357279084551812,-1.706664528,-6.186479085,-0.676881311,-0.97313316
287757,2800,2.8,0,0,0.8171,0.17,0.3966106403010388,0.8171,0.17,0,0,2.521364528296496,6.357279084551812,-1.704264528,-6.187279085,-0.675929446,-0.973259
287807,2850,2.85,0,0,0.8196,0.17,0.3966106403010388,0.8196,0.17,0,0,2.521364528296496,6.357279084551812,-1.701764528,-6.187279085,-0.674937919,-0.973259
287857,2900,2.9,0,0,0.8179,0.1692,0.3966106403010388,0.8179,0.1692,0,0,2.521364528296496,6.357279084551812,-1.703464528,-6.188079085,-0.675612157,-0.97338484
287907,2950,2.95,0,0,0.8196,0.17,0.3966106403010388,0.8196,0.17,0,0,2.521364528296496,6.357279084551812,-1.701764528,-6.187279085,-0.674937919,-0.973259
287957,3000,3,0,0,0.8228,0.1692,0.3966106403010388,0.8228,0.1692,0,0,2.521364528296496,6.357279084551812,-1.698564528,-6.188079085,-0.673668765,-0.97338484
288007,3050,3.05,0,0,0.8147,0.1684,0.3966106403010388,0.8147,0.1684,0,0,2.521364528296496,6.357279084551812,-1.706664528,-6.188879085,-0.676881311,-0.97351068
288057,3100,3.1,0,0,0.8179,0.1684,0.3966106403010388,0.8179,0.1684,0,0,2.521364528296496,6.357279084551812,-1.703464528,-6.188879085,-0.675612157,-0.97351068
288107,3150,3.15,0,0,0.8179,0.17,0.3966106403010388,0.8179,0.17,0,0,2.521364528296496,6.357279084551812,-1.703464528,-6.187279085,-0.675612157,-0.973259
288157,3200,3.2,0,0,0.7946,0.17,0.3966106403010388,0.7946,0.17,0,0,2.521364528296496,6.357279084551812,-1.726764528,-6.187279085,-0.684853185,-0.973259
288207,3250,3.25,0,0,0.8179,0.1684,0.3966106403010388,0.8179,0.1684,0,0,2.521364528296496,6.357279084551812,-1.703464528,-6.188879085,-0.675612157,-0.97351068
288257,3300,3.3,0,0,0.8308,0.1692,0.3966106403010388,0.8308,0.1692,0,0,2.521364528296496,6.357279084551812,-1.690564528,-6.188079085,-0.67049588,-0.97338484
288307,3350,3.35,0,0,0.8147,0.1692,0.3966106403010388,0.8147,0.1692,0,0,2.521364528296496,6.357279084551812,-1.706664528,-6.188079085,-0.676881311,-0.97338484
288357,3400,3.4,0,0,0.8179,0.1676,0.3966106403010388,0.8179,0.1676,0,0,2.521364528296496,6.357279084551812,-1.703464528,-6.189679085,-0.675612157,-0.97363652
288407,3450,3.45,0,0,0.8212,0.1773,0.3966106403010388,0.8212,0.1773,0,0,2.521364528296496,6.357279084551812,-1.700164528,-6.179979085,-0.674303342,-0.97211071
288457,3500,3.5,0,0,0.8204,0.1716,0.3966106403010388,0.8204,0.1716,0,0,2.521364528296496,6.357279084551812,-1.700964528,-6.185679085,-0.674620631,-0.97300732
288507,3550,3.55,0,0,0.8196,0.17,0.3966106403010388,0.8196,0.17,0,0,2.521364528296496,6.357279084551812,-1.701764528,-6.187279085,-0.674937919,-0.973259
288557,3600,3.6,0,0,0.8212,0.17,0.3966106403010388,0.8212,0.17,0,0,2.521364528296496,6.357279084551812,-1.700164528,-6.187279085,-0.674303342,-0.973259
288607,3650,3.65,0,0,0.8236,0.1684,0.3966106403010388,0.8236,0.1684,0,0,2.521364528296496,6.357279084551812,-1.697764528,-6.188879085,-0.673351477,-0.97351068
288657,3700,3.7,0,0,0.8212,0.1676,0.3966106403010388,0.8212,0.1676,0,0,2.521364528296496,6.357279084551812,-1.700164528,-6.189679085,-0.674303342,-0.97363652
288707,3750,3.75,0,0,0.8212,0.1773,0.3966106403010388,0.8212,0.1773,0,0,2.521364528296496,6.357279084551812,-1.700164528,-6.179979085,-0.674303342,-0.97211071
288757,3800,3.8,0,0,0.822,0.1676,0.3966106403010388,0.822,0.1676,0,0,2.521364528296496,6.357279084551812,-1.699364528,-6.189679085,-0.673986054,-0.97363652
288807,3850,3.85,0,0,0.8228,0.1789,0.3966106403010388,0.8228,0.1789,0,0,2.521364528296496,6.357279084551812,-1.698564528,-6.178379085,-0.673668765,-0.97185903
288857,3900,3.9,0,0,0.822,0.17,0.3966106403010388,0.822,0.17,0,0,2.521364528296496,6.357279084551812,-1.699364528,-6.187279085,-0.673986054,-0.973259
288907,3950,3.95,0,0,0.8236,0.1692,0.3966106403010388,0.8236,0.1692,0,0,2.521364528296496,6.357279084551812,-1.697764528,-6.188079085,-0.673351477,-0.97338484
288957,4000,4,0,0,0.8212,0.1716,0.3966106403010388,0.8212,0.1716,0,0,2.521364528296496,6.357279084551812,-1.700164528,-6.185679085,-0.674303342,-0.97300732
289007,4050,4.05,0,0,0.8204,0.1708,0.3966106403010388,0.8204,0.1708,0,0,2.521364528296496,6.357279084551812,-1.700964528,-6.186479085,-0.674620631,-0.97313316
289057,4100,4.1,0,0,0.8212,0.1692,0.3966106403010388,0.8212,0.1692,0,0,2.521364528296496,6.357279084551812,-1.700164528,-6.188079085,-0.674303342,-0.97338484
289107,4150,4.15,0,0,0.8244,0.17,0.3966106403010388,0.8244,0.17,0,0,2.521364528296496,6.357279084551812,-1.696964528,-6.187279085,-0.673034188,-0.973259
289157,4200,4.2,0,0,0.822,0.1692,0.3966106403010388,0.822,0.1692,0,0,2.521364528296496,6.357279084551812,-1.699364528,-6.188079085,-0.673986054,-0.97338484
289207,4250,4.25,0,0,0.8236,0.1684,0.3966106403010388,0.8236,0.1684,0,0,2.521364528296496,6.357279084551812,-1.697764528,-6.188879085,-0.673351477,-0.97351068
289257,4300,4.3,0,0,0.8171,0.1692,0.3966106403010388,0.8171,0.1692,0,0,2.521364528296496,6.357279084551812,-1.704264528,-6.188079085,-0.675929446,-0.97338484
289307,4350,4.35,0,0,0.8155,0.1684,0.3966106403010388,0.8155,0.1684,0,0,2.521364528296496,6.357279084551812,-1.705864528,-6.188879085,-0.676564023,-0.97351068
289357,4400,4.4,0,0,0.8308,0.1684,0.3966106403010388,0.8308,0.1684,0,0,2.521364528296496,6.357279084551812,-1.690564528,-6.188879085,-0.67049588,-0.97351068
289407,4450,4.45,0,0,0.8244,0.17,0.3966106403010388,0.8244,0.17,0,0,2.521364528296496,6.357279084551812,-1.696964528,-6.187279085,-0.673034188,-0.973259
289457,4500,4.5,0,0,0.8244,0.1733,0.3966106403010388,0.8244,0.1733,0,0,2.521364528296496,6.357279084551812,-1.696964528,-6.183979085,-0.673034188,-0.97273991
289507,4550,4.55,0,0,0.8244,0.17,0.3966106403010388,0.8244,0.17,0,0,2.521364528296496,6.357279084551812,-1.696964528,-6.187279085,-0.673034188,-0.973259
289557,4600,4.6,0,0,0.8244,0.1797,0.3966106403010388,0.8244,0.1797,0,0,2.521364528296496,6.357279084551812,-1.696964528,-6.177579085,-0.673034188,-0.97173319
289607,4650,4.65,0,0,0.8236,0.1676,0.3966106403010388,0.8236,0.1676,0,0,2.521364528296496,6.357279084551812,-1.697764528,-6.189679085,-0.673351477,-0.97363652
289657,4700,4.7,0,0,0.8244,0.1749,0.3966106403010388,0.8244,0.1749,0,0,2.521364528296496,6.357279084551812,-1.696964528,-6.182379085,-0.673034188,-0.97248823
289707,4750,4.75,0,0,0.8228,0.1676,0.3966106403010388,0.8228,0.1676,0,0,2.521364528296496,6.357279084551812,-1.698564528,-6.189679085,-0.673668765,-0.97363652
289757,4800,4.8,0,0,0.8228,0.1692,0.3966106403010388,0.8228,0.1692,0,0,2.521364528296496,6.357279084551812,-1.698564528,-6.188079085,-0.673668765,-0.97338484
289807,4850,4.85,0,0,0.8228,0.1676,0.3966106403010388,0.8228,0.1676,0,0,2.521364528296496,6.357279084551812,-1.698564528,-6.189679085,-0.673668765,-0.97363652
